level	processor
13	CPU Processor 0x1d00000000000001
17	CPU Processor 0x1d00000000000002
20	CPU Processor 0x1d00000000000003
27	CPU Processor 0x1d00000000000004
45	CPU Processor 0x1d00000000000008
32	CPU Processor 0x1d00000000000005
36	CPU Processor 0x1d00000000000006
41	CPU Processor 0x1d00000000000007
7	Utility Processor 0x1d00000000000000
49	Fill System Memory 0x1e00000000000000 Channel
53	System Memory 0x1e00000000000000
